keys,en,pt_BR
MENU_VOLUME,General Volume,Volume Geral
MENU_EXIT,Exit,Sair
MENU_LANGUAGE,Languages,Línguas
MENU_FULLSCREEN,Fullscreen,Tela Cheia
MENU_WINDOWED,Windowed,Janela
MENU_LANG_EN,English,English
MENU_LANG_PT_BR,Português (Brasil),Português (Brasil)
MENU_MOVEMENT,Movement,Movimentação
MENU_MOVEMENT_KEYBOARD,Keyboard (WASD),Teclado (WASD)
MENU_MOVEMENT_CLICK,Mouse click,Clique do mouse
MENU_PAUSED,Paused,Pausado
MENU_RESUME,Resume,Continuar
MENU_MAIN_MENU,Main Menu,Menu Principal
MENU_OPTIONS,Options,Opções
MENU_CREDITS,Credits,Créditos
MENU_NEWGAME,New Game,Novo Jogo
MENU_CONTINUE,Continue,Continuar
DYNAMIC_EXAMPLE,%s testes!,testes %s!
PLACEHOLDER_CITY_GROUND,Placeholder - City ground (final art pending),Placeholder - Chão da cidade (arte final pendente)
PLACEHOLDER_CITY_BUILDING,Placeholder - Building (final art pending),Placeholder - Prédio (arte final pendente)
TIME_FORMAT,%02d:%02d,%02d:%02d
DAY_LABEL,Day %d,Dia %d
WEEKDAY_MON,Monday,Segunda
WEEKDAY_TUE,Tuesday,Terça
WEEKDAY_WED,Wednesday,Quarta
WEEKDAY_THU,Thursday,Quinta
WEEKDAY_FRI,Friday,Sexta
WEEKDAY_SAT,Saturday,Sábado
WEEKDAY_SUN,Sunday,Domingo
NPC_NAME_ZE,Joe,Zé
NPC_NAME_ANA,Ana,Ana
NPC_NAME_POLICIAL,Officer,Policial
EMOTION_ANGER,Anger,Raiva
EMOTION_SADNESS,Sadness,Tristeza
EMOTION_FEAR,Fear,Medo
EMOTION_EUPHORIA,Euphoria,Euforia
PLACEHOLDER_NPC_BODY,Placeholder - NPC body reuses the player sprite (final art pending),Placeholder - Corpo de NPC reaproveita o sprite do player (arte final pendente)
PLACEHOLDER_BAKERY_INTERIOR,Placeholder - Bakery interior (scene pending),Placeholder - Interior da padaria (cena pendente)
INSIGHT_CITY_GROUND_PUDDLE,"The puddle never dries here. Whatever runs under this street runs all year.","A poça nunca seca aqui. O que corre por baixo desta rua corre o ano inteiro."
INSIGHT_CITY_BUILDING1_BRICKS,"The bricks were laid by someone in a hurry. Two rows out of line, and nobody ever came back to fix them.","Os tijolos foram assentados por alguém com pressa. Duas fiadas fora de prumo, e ninguém nunca voltou para consertar."
INSIGHT_CITY_BUILDING1_MORTAR,"Fresh mortar on the same wall. Someone patched this after the puddle showed up, and used sea water to do it.","Argamassa nova na mesma parede. Alguém remendou isto depois que a poça apareceu, e usou água do mar para fazer isso."
INSIGHT_CITY_BUILDING2_WINDOWS,"Every window on this side is shuttered at noon. People here sleep while the boats are out.","Todas as janelas deste lado ficam fechadas ao meio-dia. A gente daqui dorme enquanto os barcos estão no mar."
INSIGHT_CITY_BUILDING3_WARM_WALL,"The wall is warm. Something behind it has been burning since long before anyone opened for business.","A parede está morna. Algo atrás dela queima desde muito antes de qualquer um abrir as portas."
INSIGHT_CITY_BUILDING3_GUTTER,"That gutter drains into the street, not into the sea. Whoever built it had never seen a real tide.","Aquela calha despeja na rua, não no mar. Quem a construiu nunca tinha visto uma maré de verdade."
HEAD_PLAYER_NAME,"Me","Eu"
HEAD_OLD_FISHERMAN_NAME,"The Old Fisherman","O Velho Pescador"
INSIGHT_DIALOGUE_CLOSE,"Close","Fechar"
PLACEHOLDER_DIALOGUE_SCREEN,"Placeholder - Dialogue screen (final screen pending)","Placeholder - Tela de diálogo (tela final pendente)"
PLACEHOLDER_INSIGHT_ORB,"Placeholder - Insight orb drawn in code (final art pending)","Placeholder - Orbe de insight desenhado em código (arte final pendente)"
PROMPT_SLEEP,Press SPACE to sleep,Aperte ESPAÇO para dormir
PROMPT_SLEEP_TOO_EARLY,It is not time to sleep yet,Ainda não é hora de dormir
PROMPT_WAKE,Press SPACE to wake up,Aperte ESPAÇO para acordar
GLOSSARY_CATEGORY_NAME,Name,Nome
GLOSSARY_CATEGORY_WEAPON,Weapon,Arma
GLOSSARY_CATEGORY_ACTION,Action,Ação
GLOSSARY_CATEGORY_OBJECT,Object,Objeto
GLOSSARY_TITLE,Glossary,Glossário
GLOSSARY_SEARCH_PLACEHOLDER,Search for a word...,Procurar uma palavra...
GLOSSARY_FILTER_TRASH,Trash,Lixo
GLOSSARY_FILTER_STAR,Star,Estrela
GLOSSARY_FILTER_ALPHABETICAL,A-Z,A-Z
GLOSSARY_FILTER_CATEGORY,Category,Categoria
GLOSSARY_FILTER_SEARCH,Search,Lupa
PROFILING_INVESTIGATE,INVESTIGATE,INVESTIGAR
PROFILING_NO_STORY,No story yet,Sem história ainda
PROFILING_EXIT,Leave,Sair
PROFILING_BACK,Back,Voltar
PROFILING_HINT_HOLD,Hold the left button on an emotion to change it. Hover to investigate.,Segure o botão esquerdo sobre uma emoção para mudá-la. Passe o mouse para investigar.
PROFILING_EMOTION_TODAY,feeling this today,sente isso hoje
PROFILING_EMOTION_TOMORROW,will feel this tomorrow,vai sentir isso amanhã
PROFILING_WORD_ADDED,Word added to %s's Glossary,Palavra adicionada ao Glossário de %s
PROFILING_RESULT_ALL_CORRECT,Everything was filled in correctly,Tudo foi preenchido corretamente
PROFILING_RESULT_FEW_WRONG,Two or fewer words are wrong,Duas ou menos palavras estão erradas
PROFILING_RESULT_MANY_WRONG,Several words are incorrect,Várias palavras estão incorretas
DREAM_WAKE_UP,Wake up,Acordar
DREAM_WAKE_CONFIRM,Do you want to leave the dream world?,Deseja sair do mundo dos sonhos?
DREAM_WAKE_YES,Yes,Sim
DREAM_WAKE_NO,No,Não
PROMPT_INVESTIGATE_SPIRIT,Press F to investigate the spirit,Aperte F para investigar o espírito
PLACEHOLDER_PROFILING_SCREEN,Placeholder - Profiling screen drawn in code (final art pending),Placeholder - Tela de profiling desenhada em código (arte final pendente)
PLACEHOLDER_NPC_PORTRAIT,Placeholder - NPC portrait,Placeholder - Portrait do NPC
PLACEHOLDER_DIARY_ICON,Placeholder - Diary,Placeholder - Diário
GLOSSARY_WORD_MARCOS,Marcos,Marcos
GLOSSARY_WORD_CASTRO,Castro,Castro
GLOSSARY_WORD_ROBERTA,Roberta,Roberta
GLOSSARY_WORD_SMITH,Smith,Smith
GLOSSARY_WORD_MARIA,Maria,Maria
GLOSSARY_WORD_BAKER,Baker,Baker
GLOSSARY_WORD_BRIAN,Brian,Brian
GLOSSARY_WORD_WALKER,Walker,Walker
GLOSSARY_WORD_VINHO,Wine,Vinho
GLOSSARY_WORD_AGUA,Water,Água
GLOSSARY_WORD_TONICO,Tonic,Tônico
GLOSSARY_WORD_ESTATUA,Statue,Estátua
GLOSSARY_WORD_VASO,Vase,Vaso
GLOSSARY_WORD_BOLSA,Purse,Bolsa
GLOSSARY_WORD_AQUARIO,Fish tank,Aquário
GLOSSARY_WORD_FACA,Knife,Faca
GLOSSARY_WORD_TESOURA,Scissors,Tesoura
GLOSSARY_WORD_QUEIMOU,Burned,Queimou
GLOSSARY_WORD_CORREU,Ran,Correu
PROFILING_EXAMPLE_TEMPLATE,"{0} {1} wanted {2} {3} dead, so {4} {5} poisoned the {6} and hid the key inside a {7}\n\nAt the party, {8} {9} drank the poison and died","{0} {1} queria {2} {3} morta, e então {4} {5} envenenou o {6} e escondeu a chave necessária numa {7}\n\nNa festa, {8} {9} ingeriu o veneno e morreu"
PROFILING_EXAMPLE_RESOLVED,"Marcos Castro wanted Roberta Smith dead, and he was not the one who did it: Maria Baker poisoned the wine and hid the key inside a statue, so that nobody could reach the cellar before the party. At the party, it was Brian Walker who drank from the wrong glass and died.","Marcos Castro queria Roberta Smith morta, e não foi ele quem agiu: Maria Baker envenenou o vinho e escondeu a chave necessária numa estátua, para que ninguém chegasse ao porão antes da festa. Na festa, foi Brian Walker quem bebeu do copo errado e morreu."
PROFILING_EXAMPLE_JOURNAL,"The poisoned wine at the party was meant for Roberta Smith, and it killed Brian Walker.","O vinho envenenado da festa era para Roberta Smith, e matou Brian Walker."
